Station,snow_1970s,snow_2000s,change_snow,snwd_1970s,snwd_2000s,change_snwd
USC00131954,14.045555555555561,11.616666666666667,2.4288888888888938,89.0988888888889,60.24777777777778,-28.851111111111116
USC00131962,11.397777777777778,29.5641975308642,-18.166419753086423,65.5358024691358,66.5,0.9641975308641975
USC00132110,11.804444444444446,9.882222222222222,1.9222222222222243,75.77555555555556,55.44111111111111,-20.334444444444443
USC00132171,9.183333333333332,11.673333333333334,-2.490000000000002,56.35,38.33555555555556,-18.014444444444443
USC00132299,8.977777777777778,8.241111111111111,0.7366666666666664,54.123333333333335,27.876666666666672,-26.246666666666663
USC00132364,9.650000000000002,13.257777777777779,-3.607777777777777,53.90333333333334,48.989999999999995,-4.913333333333348
USC00132573,7.868888888888888,10.067777777777778,-2.19888888888889,58.91444444444445,46.751111111111115,-12.163333333333334
USC00132603,15.407777777777778,13.654444444444447,1.7533333333333303,70.32888888888888,46.91111111111111,-23.417777777777772
USC00132689,11.020987654320988,12.114444444444443,-1.0934567901234544,71.68222222222224,54.38271604938272,-17.299506172839514
USC00132724,16.016666666666666,14.60888888888889,1.4077777777777758,72.00222222222223,98.91000000000001,26.90777777777778
USC00132789,10.527777777777777,9.506666666666666,1.0211111111111109,48.46,29.166666666666664,-19.293333333333337
USC00132864,11.934444444444445,12.883333333333335,-0.9488888888888898,66.00222222222223,54.63222222222222,-11.370000000000012
USC00132977,13.3,17.613333333333333,-4.313333333333333,77.32666666666665,74.97444444444444,-2.35222222222221
USC00132999,19.653333333333336,11.775555555555556,7.87777777777778,70.95666666666668,72.06777777777778,1.1111111111111
USC00133007,8.241111111111113,53.434444444444445,-45.19333333333333,77.88,26.105555555555554,-51.77444444444444
USC00133290,8.120987654320988,8.488888888888887,-0.36790123456789914,41.60333333333334,27.895061728395063,-13.708271604938275
USC00133438,12.845555555555555,7.95,4.895555555555554,51.985555555555564,39.82666666666667,-12.158888888888896
USC00133473,11.258888888888887,16.858888888888888,-5.600000000000001,55.36888888888889,49.65111111111111,-5.717777777777776
USC00133487,10.054444444444444,14.168888888888887,-4.114444444444443,56.41111111111112,44.43333333333332,-11.977777777777796
USC00133509,8.552222222222223,14.302222222222222,-5.749999999999998,85.84222222222222,57.15444444444445,-28.687777777777768
USC00133517,10.856666666666666,16.862222222222226,-6.00555555555556,61.55777777777778,46.42111111111111,-15.13666666666667
USC00133584,11.095555555555556,14.832222222222223,-3.7366666666666664,64.3611111111111,53.19222222222222,-11.16888888888888
USC00133632,10.446666666666669,15.863333333333335,-5.416666666666666,50.468888888888884,34.99666666666667,-15.472222222222214
USC00133718,11.937777777777779,11.03,0.9077777777777793,52.36333333333333,62.08222222222223,9.718888888888898
USC00133909,12.010000000000002,10.805555555555554,1.204444444444448,58.37555555555555,41.60444444444444,-16.77111111111111
USC00134038,7.936111111111111,9.995555555555557,-2.0594444444444457,47.738888888888894,66.85,19.1111111111111
USC00134049,21.137777777777778,55.32839506172839,-34.190617283950616,96.8037037037037,53.14555555555556,-43.65814814814814
USC00134063,8.77,6.55111111111111,2.2188888888888894,34.82777777777778,35.90888888888889,1.081111111111106
USC00134101,8.595555555555555,9.995555555555557,-1.4000000000000021,42.88111111111111,33.66,-9.221111111111114
USC00134142,11.506666666666666,11.882222222222222,-0.37555555555555564,72.49222222222222,64.35333333333332,-8.1388888888889
USC00134228,12.421111111111113,11.239999999999998,1.1811111111111146,61.90333333333333,38.647777777777776,-23.255555555555553
